game_id,game_title,release_year,queer_content_start_year,archive_url,archive_status,source_list_position,notes,last_reviewed
1,Questprobe Featuring Spider-Man,1984,1984,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,researched,1,,2026-08-22
2,Mad Party Fucker,1985,1985,https://lgbtqgamearchive.com/games/games-by-decade/1980s/mad-party-fucker/,researched,2,,2026-08-22
3,Super Mario Bros,1985,1985,https://lgbtqgamearchive.com/games/game-series/super-mario-bros/,researched,3,,2026-08-22
4,The Rocky Horror Picture Show,1985,1985,https://lgbtqgamearchive.com/games/games-by-decade/1980s/richard-obriens-the-rocky-horror-show/,researched,4,,2026-08-22
5,Leather Goddesses of Phobos,1986,1986,https://lgbtqgamearchive.com/games/games-by-decade/1980s/leather-goddesses-of-phobos/,researched,5,,2026-08-22
6,Metroid,1986,1986,https://lgbtqgamearchive.com/games/games-by-decade/1980s/metroid-prime/,researched,6,,2026-08-22
7,Moonmist,1986,1986,https://lgbtqgamearchive.com/games/games-by-decade/1980s/moonmist/,researched,7,,2026-08-22
8,The Legend of Zelda,1986,1986,https://lgbtqgamearchive.com/games/game-series/the-legend-of-zelda-series/,researched,8,,2026-08-22
9,Leisure Suit Larry in the Land of the Lounge Lizards,1987,1987,https://lgbtqgamearchive.com/games/game-series/leisure-suit-larry/,researched,9,,2026-08-22
10,Mike Tyson’s Punch-Out!,1987,1987,https://lgbtqgamearchive.com/games/games-by-decade/1980s/mike-tyson-punch-out/,researched,10,,2026-08-22
11,Street Fighter,1987,1987,https://lgbtqgamearchive.com/games/game-series/street-fighter/,researched,11,,2026-08-22
12,The Warden Game,1987,1987,https://lgbtqgamearchive.com/games/games-by-decade/1980s/the-warden-game/,researched,12,,2026-08-22
13,Dragon Warrior III,1988,1988,https://lgbtqgamearchive.com/games/games-by-decade/1980s/dragon-warrior-iii/,researched,13,,2026-08-22
14,Super Mario Bros 2,1988,1988,https://lgbtqgamearchive.com/games/game-series/super-mario-bros/,researched,14,,2026-08-22
15,Caper in the Castro,1989,1989,https://lgbtqgamearchive.com/games/games-by-decade/1980s/caper-in-the-castro/,researched,15,,2026-08-22
16,Final Fight,1989,1989,https://lgbtqgamearchive.com/games/games-by-decade/1980s/final-fight/,researched,16,,2026-08-22
17,It Came from the Desert,1989,1989,https://lgbtqgamearchive.com/games/games-by-decade/1980s/it-came-from-the-desert/,researched,17,,2026-08-22
18,Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals,1989,1989,https://lgbtqgamearchive.com/games/game-series/leisure-suit-larry/,researched,18,,2026-08-22
19,Phantasy Star II,1989,1989,https://lgbtqgamearchive.com/games/games-by-decade/1980s/phantasy-star-ii/,researched,19,,2026-08-22
20,The Uncanny X-Men,1989,1989,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,researched,20,,2026-08-22
21,Circuit’s Edge,1990,1990,https://lgbtqgamearchive.com/games/games-by-decade/1990s/circuits-edge/,researched,21,,2026-08-22
22,Rise of the Dragon,1990,1990,https://lgbtqgamearchive.com/games/games-by-decade/1990s/rise-of-the-dragon/,researched,22,,2026-08-22
23,Ultima VI: The False Prophet,1990,1990,https://lgbtqgamearchive.com/games/game-series/ultima/,researched,23,,2026-08-22
24,Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,1991,1991,https://lgbtqgamearchive.com/games/game-series/leisure-suit-larry/,researched,24,,2026-08-22
25,Space Quest IV: Roger Wilco and the Time Rippers,1991,1991,https://lgbtqgamearchive.com/games/games-by-decade/1990s/space-quest-iv-roger-wilco-and-the-time-rippers/,researched,25,,2026-08-22
26,Street Fighter II: The World Warrior,1991,1991,https://lgbtqgamearchive.com/games/game-series/street-fighter/,researched,26,,2026-08-22
27,The Simpsons Arcade Game,1991,1991,https://lgbtqgamearchive.com/games/games-by-decade/1990s/the-simpsons-video-games/,researched,27,,2026-08-22
28,Vendetta,1991,1991,https://lgbtqgamearchive.com/games/games-by-decade/1990s/vendetta/,researched,28,,2026-08-22
29,X-Men,1992,1992,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,researched,29,,2026-08-22
30,Cho Aniki,1992,1992,https://lgbtqgamearchive.com/games/games-by-decade/1990s/cho-aniki/,researched,30,,2026-08-22
31,Final Fantasy V,1992,1992,https://lgbtqgamearchive.com/games/game-series/final-fantasy/,researched,31,,2026-08-22
32,Great Greed,1992,1992,https://lgbtqgamearchive.com/games/games-by-decade/1990s/great-greed/,researched,32,,2026-08-22
